Devices
1000
,,FP1_4719 - Force,,,FP1_4719 - Moment,,,FP1_4719 - CoP,,,FP1_4719 - Raw,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V
151,0,-1.9815,28.7616,-163.004,14590.6,-1076.29,-766.084,225.172,164.489,0,0.0210571,0.210571,0.289307,-0.186768,-0.0143433,0.0360107
151,1,-1.70846,28.5394,-161.595,14620.3,-1130.42,-802.217,224.78,163.525,0,0.0192261,0.209045,0.286865,-0.187378,-0.0149536,0.0372314
151,2,-1.74952,28.4083,-160.892,14460.5,-1032.29,-783.708,225.359,164.123,0,0.0195312,0.20813,0.285645,-0.184937,-0.0134277,0.0366211
151,3,-1.83559,28.0054,-160.546,14346.7,-1087.1,-828.548,225.004,164.638,0,0.0201416,0.205383,0.285034,-0.183411,-0.0143433,0.038147
152,0,-1.92166,27.9199,-159.491,14285.5,-1084.68,-801.018,224.974,164.431,0,0.020752,0.204773,0.283203,-0.182495,-0.0143433,0.0372314
152,1,-1.96268,27.744,-158.261,14297.7,-1181.88,-791.632,224.307,163.657,0,0.0210571,0.203552,0.281067,-0.1828,-0.0158691,0.0369263
152,2,-2.00641,27.5654,-157.735,14251.8,-1103.27,-809.563,224.781,163.647,0,0.0213623,0.202332,0.280151,-0.18219,-0.0146484,0.0375366
152,3,-2.13722,27.3429,-157.561,14164.8,-1213.26,-763.804,224.075,164.1,0,0.0222778,0.200806,0.279846,-0.180969,-0.0164795,0.0360107
153,0,-2.09092,27.3007,-156.506,14125,-1081.78,-799.966,224.863,163.748,0,0.0219727,0.2005,0.278015,-0.180359,-0.0143433,0.0372314
153,1,-2.08526,26.9896,-155.627,14034.6,-1160.35,-736.012,224.319,163.819,0,0.0219727,0.198364,0.276489,-0.179138,-0.015564,0.0350952
153,2,-2.03693,26.5864,-155.103,13940.3,-1183.05,-799.087,224.147,164.123,0,0.0216675,0.195618,0.275574,-0.177917,-0.0158691,0.0372314
153,3,-2.12376,26.5016,-153.343,13918.3,-1046.22,-762.534,224.952,163.235,0,0.0222778,0.195007,0.272522,-0.177612,-0.0137329,0.0360107
154,0,-2.03242,26.2754,-153.871,13831,-1068.31,-735.172,224.832,164.113,0,0.0216675,0.193481,0.273438,-0.176392,-0.0140381,0.0350952
154,1,-2.25559,26.1881,-153.171,13846.9,-1098.17,-734.925,224.605,163.598,0,0.0231934,0.192871,0.272217,-0.176697,-0.0146484,0.0350952
154,2,-2.16192,25.9219,-151.941,13739.5,-1007.85,-788.982,225.142,163.573,0,0.022583,0.19104,0.270081,-0.175171,-0.0131226,0.0369263
154,3,-2.06739,25.3835,-151.237,13678,-1051.41,-725.04,224.823,163.559,0,0.0219727,0.187378,0.26886,-0.174561,-0.0137329,0.03479
155,0,-2.24413,25.569,-150.361,13589.7,-1064.55,-779.212,224.695,163.62,0,0.0231934,0.188599,0.267334,-0.173035,-0.0140381,0.0366211
155,1,-2.15262,25.2982,-150.537,13539.3,-1087.31,-742.767,224.552,164.06,0,0.022583,0.186768,0.267639,-0.172424,-0.0143433,0.0354004
155,2,-2.2389,25.2133,-149.132,13517,-1105.44,-769.659,224.362,163.362,0,0.0231934,0.186157,0.265198,-0.172119,-0.0146484,0.0363159
155,3,-2.18988,24.6292,-148.783,13395.5,-1107.84,-769.14,224.329,163.966,0,0.0228882,0.18219,0.264587,-0.170593,-0.0146484,0.0363159
156,0,-2.36876,24.3162,-147.908,13363.3,-965.683,-805.082,225.246,163.651,0,0.0241089,0.180054,0.263062,-0.170288,-0.0125122,0.0375366
156,1,-2.31808,24.1409,-146.852,13278.8,-1066.36,-777.477,224.514,163.577,0,0.0238037,0.178833,0.26123,-0.169067,-0.0140381,0.0366211
156,2,-2.40798,24.0504,-147.029,13274.9,-1061.6,-741.121,224.555,163.713,0,0.0244141,0.178223,0.261536,-0.169067,-0.0140381,0.0354004
156,3,-2.2709,23.9623,-146.501,13174.8,-971.695,-750.047,225.142,164.07,0,0.0234985,0.177612,0.26062,-0.167542,-0.0125122,0.0357056
157,0,-2.62486,23.7459,-144.042,13185.9,-998.716,-749.428,224.842,162.458,0,0.0259399,0.176086,0.256348,-0.167847,-0.0131226,0.0357056
157,1,-2.39661,23.16,-144.22,13044.7,-1027.91,-776.234,224.648,163.55,0,0.0244141,0.172119,0.256653,-0.166016,-0.0134277,0.0366211
157,2,-2.43997,23.1628,-143.34,13045.3,-988.614,-757.982,224.878,162.991,0,0.0247192,0.172119,0.255127,-0.166016,-0.0128174,0.0360107
157,3,-2.48267,23.075,-142.813,13022.4,-1026.23,-748.717,224.589,162.815,0,0.0250244,0.171509,0.254211,-0.16571,-0.0134277,0.0357056
158,0,-2.57257,22.7134,-143.17,12987.4,-1021.58,-784.754,224.64,163.287,0,0.0256348,0.169067,0.254822,-0.165405,-0.0134277,0.0369263
158,1,-2.38847,22.6277,-141.936,12868.5,-915.38,-757.313,225.326,163.336,0,0.0244141,0.168457,0.252686,-0.163574,-0.0115967,0.0360107
158,2,-2.56356,22.453,-140.708,12861.3,-1084.29,-793.139,224.069,162.596,0,0.0256348,0.167236,0.250549,-0.163574,-0.0143433,0.0372314
158,3,-2.60823,22.0917,-140.886,12768.7,-906.688,-738.488,225.339,163.368,0,0.0259399,0.164795,0.250854,-0.162354,-0.0115967,0.0354004
159,0,-2.55931,21.9617,-139.304,12763.7,-970.488,-810.754,224.808,162.375,0,0.0256348,0.163879,0.248108,-0.162354,-0.0125122,0.0378418
159,1,-2.55811,21.8724,-139.128,12721.4,-931.67,-774.362,225.079,162.563,0,0.0256348,0.163269,0.247803,-0.161743,-0.0119019,0.0366211
159,2,-2.77943,21.7866,-138.428,12659.9,-1000.32,-792.116,224.549,162.545,0,0.0271606,0.162659,0.246582,-0.160828,-0.0131226,0.0372314
159,3,-2.59593,21.6085,-138.075,12517.2,-950.488,-755.6,224.891,163.345,0,0.0259399,0.161438,0.245972,-0.158691,-0.012207,0.0360107
160,0,-2.81804,21.2965,-137.024,12562.2,-1039.34,-773.338,224.19,162.321,0,0.0274658,0.159302,0.244141,-0.159607,-0.0137329,0.0366211
160,1,-2.81708,21.2527,-136.671,12521.9,-962.156,-746.042,224.735,162.379,0,0.0274658,0.158997,0.24353,-0.158997,-0.0125122,0.0357056
160,2,-2.85512,21.1242,-135.618,12323.6,-1000.54,-745.491,224.397,163.131,0,0.027771,0.158081,0.241699,-0.155945,-0.0131226,0.0357056
160,3,-3.03254,20.6302,-135.273,12283.1,-1051.34,-790.349,224.003,163.197,0,0.0289917,0.154724,0.241089,-0.15564,-0.0140381,0.0372314
161,0,-2.76244,20.6296,-135.27,12244.5,-1005.44,-790.457,224.342,163.481,0,0.0271606,0.154724,0.241089,-0.155029,-0.0131226,0.0372314
161,1,-2.80513,20.8595,-133.86,12312.9,-1064.3,-772.303,223.824,162.017,0,0.0274658,0.15625,0.238647,-0.155945,-0.0140381,0.0366211
161,2,-3.06982,20.4128,-133.515,12158.5,-1110.31,-753.479,223.459,162.935,0,0.0292969,0.153198,0.238037,-0.153809,-0.0149536,0.0360107
