Devices
1000
,,FP1_4719 - Force,,,FP1_4719 - Moment,,,FP1_4719 - CoP,,,FP1_4719 - Raw,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V
543,0,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0186157,0.0152588,0.0286865,0.00549316,0.00976562
543,1,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0177002,0.015564,0.0296021,0.00549316,0.0119019
543,2,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0186157,0.0164795,0.0302124,0.00579834,0.0109863
543,3,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0186157,0.015564,0.0302124,0.00457764,0.0131226
544,0,0,0,0,0,0,0,231.775,254,0,0.022583,0.0192261,0.0164795,0.0305176,0.00610352,0.012207
544,1,0,0,0,0,0,0,231.775,254,0,0.022583,0.0186157,0.0164795,0.0302124,0.00549316,0.012207
544,2,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0192261,0.0170898,0.0299072,0.00640869,0.0119019
544,3,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0186157,0.0158691,0.0302124,0.00396729,0.012207
545,0,0,0,0,0,0,0,231.775,254,0,0.0201416,0.0198364,0.0167847,0.0302124,0.00396729,0.0137329
545,1,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0186157,0.0161743,0.0286865,0.00579834,0.0109863
545,2,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0195312,0.0161743,0.0302124,0.00457764,0.0112915
545,3,0,0,0,0,0,0,231.775,254,0,0.0198364,0.0195312,0.0158691,0.0305176,0.00396729,0.0131226
546,0,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0204468,0.0164795,0.0305176,0.00610352,0.0115967
546,1,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0189209,0.015564,0.0299072,0.00579834,0.012207
546,2,0,0,0,0,0,0,231.775,254,0,0.0201416,0.0183105,0.0158691,0.0302124,0.00366211,0.0115967
546,3,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0183105,0.0164795,0.0292969,0.00671387,0.0112915
547,0,0,0,0,0,0,0,231.775,254,0,0.020752,0.0183105,0.0164795,0.0292969,0.00335693,0.0109863
547,1,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0186157,0.015564,0.0296021,0.00457764,0.0131226
