Devices
1000
,,FP1_4719 - Force,,,FP1_4719 - Moment,,,FP1_4719 - CoP,,,FP1_4719 - Raw,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V
1,0,26.0688,-4.13207,-537.176,42893.6,73800.7,1939.53,369.161,174.15,0,-0.184326,0.00366211,0.939331,-0.656738,1.17462,-0.0595093
1,1,26.1112,-4.27001,-537.352,43003.6,73798.6,1912.18,369.112,173.971,0,-0.184631,0.00274658,0.939636,-0.658569,1.17462,-0.0585938
1,2,25.8905,-3.94836,-536.297,42959.8,73710.2,1957.73,369.218,173.896,0,-0.183105,0.00488281,0.937805,-0.657654,1.1731,-0.0601196
1,3,26.1597,-4.17727,-537.53,42833.5,73719.4,1885.18,368.92,174.314,0,-0.184937,0.00335693,0.939941,-0.655823,1.1734,-0.0576782
2,0,26.1156,-4.17495,-536.473,42911.4,73738.9,1921.49,369.226,174.012,0,-0.184631,0.00335693,0.93811,-0.657043,1.17371,-0.0588989
2,1,26.3447,-4.21742,-536.119,42812.9,73631.3,1939.79,369.116,174.143,0,-0.186157,0.00305176,0.9375,-0.655518,1.17218,-0.0595093
2,2,25.9845,-4.03578,-536.121,42820.7,73647.9,1967.07,369.147,174.129,0,-0.183716,0.00427246,0.9375,-0.655518,1.17218,-0.0604248
2,3,26.3926,-3.94349,-535.589,42747.5,73570.1,1939.83,369.138,174.186,0,-0.186462,0.00488281,0.936584,-0.654297,1.17126,-0.0595093
3,0,26.2581,-4.16899,-535.768,42737.7,73537.9,1940.03,369.032,174.231,0,-0.185547,0.00335693,0.93689,-0.654297,1.17065,-0.0595093
3,1,26.4347,-4.08217,-535.939,42857.4,73607.7,1985,369.118,174.033,0,-0.186768,0.00396729,0.937195,-0.656128,1.17188,-0.0610352
