Devices
1000
,,FP1_4719 - Force,,,FP1_4719 - Moment,,,FP1_4719 - CoP,,,FP1_4719 - Raw,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V
626,0,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0198364,0.0170898,0.0292969,0.00427246,0.0115967
626,1,0,0,0,0,0,0,231.775,254,0,0.0204468,0.0186157,0.015564,0.0299072,0.00549316,0.0131226
626,2,0,0,0,0,0,0,231.775,254,0,0.022583,0.0195312,0.0158691,0.0311279,0.00579834,0.0137329
626,3,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0186157,0.0161743,0.0302124,0.00518799,0.0106812
627,0,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0186157,0.0164795,0.0302124,0.00579834,0.0115967
627,1,0,0,0,0,0,0,231.775,254,0,0.020752,0.0186157,0.015564,0.0292969,0.00488281,0.012207
627,2,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0192261,0.0161743,0.0292969,0.00549316,0.0125122
627,3,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0186157,0.0167847,0.0289917,0.00579834,0.012207
628,0,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0186157,0.0167847,0.0302124,0.00518799,0.0106812
628,1,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0186157,0.0146484,0.0292969,0.00518799,0.012207
628,2,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0189209,0.0167847,0.0296021,0.00579834,0.0119019
628,3,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0183105,0.0164795,0.0292969,0.00610352,0.0106812
629,0,0,0,0,0,0,0,231.775,254,0,0.022583,0.0177002,0.015564,0.0289917,0.00518799,0.012207
629,1,0,0,0,0,0,0,231.775,254,0,0.022583,0.0189209,0.0161743,0.0296021,0.00610352,0.0128174
629,2,0,0,0,0,0,0,231.775,254,0,0.020752,0.0189209,0.0180054,0.0296021,0.00366211,0.0137329
629,3,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0186157,0.0161743,0.0299072,0.00549316,0.0119019
630,0,0,0,0,0,0,0,231.775,254,0,0.022583,0.0201416,0.0158691,0.0299072,0.00579834,0.010376
